miRNA	target	score
hsa-let-7b-5p	MBD2	1
hsa-let-7b-5p	SMARCAD1	1
hsa-let-7b-5p	IFNLR1	1
hsa-let-7b-5p	RALB	1
hsa-let-7b-5p	AURKB	1
hsa-let-7b-5p	MAPK6	1
hsa-let-7b-5p	HAND1	1
hsa-let-7b-5p	PGRMC1	1
hsa-let-7b-5p	ZNF799	1
hsa-let-7b-5p	MEF2C	1
hsa-let-7b-5p	MSANTD2	1
hsa-let-7b-5p	ZNF587	1
hsa-let-7b-5p	CBX5	1
hsa-let-7b-5p	PRKAA2	1
hsa-let-7b-5p	KMT2D	1
hsa-let-7b-5p	ELK4	1
hsa-let-7b-5p	SLC20A1	1
hsa-let-7b-5p	RBFOX1	1
hsa-let-7b-5p	ZNF644	1
hsa-let-7b-5p	ARID3B	1
hsa-let-7b-5p	TNFSF9	1
hsa-let-7b-5p	PRDM1	1
hsa-let-7b-5p	ERO1A	1
hsa-let-7b-5p	PXDN	1
hsa-let-7b-5p	PDE12	1
hsa-let-7b-5p	ATP2A2	1
hsa-let-7b-5p	CD59	1
hsa-let-7b-5p	BACH1	1
hsa-let-7b-5p	BEND4	1
hsa-let-7b-5p	ZNF443	1
hsa-let-7b-5p	PLAGL2	1
hsa-let-7b-5p	EFHD2	1
hsa-let-7b-5p	SLC25A24	1
hsa-let-7b-5p	MMS22L	1
hsa-let-7b-5p	CEP120	1
hsa-let-7b-5p	CDC34	1
hsa-let-7b-5p	LPGAT1	1
hsa-let-7b-5p	UTRN	1
hsa-let-7b-5p	RAB11FIP4	1
hsa-let-7b-5p	SALL3	1
hsa-let-7b-5p	RRP1B	1
hsa-let-7b-5p	COIL	1
hsa-let-7b-5p	CDV3	1
hsa-let-7b-5p	PBX2	1
hsa-let-7b-5p	NEMP1	1
hsa-let-7b-5p	KIAA1549	1
hsa-let-7b-5p	BCL7A	1
hsa-let-7b-5p	CEP135	1
hsa-let-7b-5p	ACTA1	1
hsa-let-7b-5p	SIGMAR1	1
hsa-let-7b-5p	MFSD8	1
hsa-let-7b-5p	PGM2L1	1
hsa-let-7b-5p	RDX	1
hsa-let-7c-3p	ANP32B	1
hsa-let-7c-3p	HMGXB4	1
hsa-let-7c-3p	YY1	1
hsa-let-7c-3p	PKN2	1
hsa-let-7c-3p	NECAB1	1
hsa-let-7c-3p	CD164	1
hsa-let-7c-3p	CSMD1	1
hsa-let-7c-3p	FAM126B	1
hsa-let-7c-3p	ACTC1	1
hsa-let-7c-3p	TOP1MT	1
hsa-let-7c-3p	KRAS	1
hsa-let-7c-3p	MRPS21	1
hsa-let-7c-3p	WNT5A	1
hsa-let-7c-3p	PTMA	1
hsa-let-7c-3p	RTL8A	1
hsa-let-7c-3p	CMIP	1
hsa-let-7c-3p	SCAMP2	1
hsa-let-7c-3p	AMOTL1	1
hsa-let-7c-3p	JAZF1	1
hsa-let-7c-3p	RPS3	1
hsa-let-7c-3p	HMGA2	1
hsa-let-7c-3p	LMNB2	1
hsa-let-7c-3p	FOXP1	1
hsa-let-7c-3p	HAT1	1
hsa-let-7c-3p	CKS2	1
hsa-let-7c-3p	TRIB1	1
hsa-let-7c-3p	CALM2	1
hsa-let-7c-3p	FBXL3	1
hsa-let-7c-3p	STARD3NL	1
hsa-let-7c-3p	VEZF1	1
hsa-let-7c-3p	ZMIZ1	1
hsa-let-7c-3p	DKK1	1
hsa-let-7c-3p	PRRC2C	1
hsa-let-7c-3p	BAG4	1
hsa-let-7c-3p	CITED2	1
hsa-let-7c-3p	MAP3K2	1
hsa-let-7c-3p	FOXO1	1
hsa-let-7c-3p	USP28	1
hsa-let-7c-3p	KLHL15	1
hsa-let-7c-3p	RBM23	1
hsa-let-7c-3p	EPHX4	1
hsa-let-7c-3p	GNAT1	1
hsa-let-7c-3p	NIPBL	1
hsa-let-7c-3p	CREBRF	1
hsa-let-7c-3p	TRA2B	1
hsa-let-7c-3p	WAC	1
hsa-let-7c-3p	HNRNPU	1
hsa-let-7c-3p	RAB5C	1
hsa-let-7c-3p	IVNS1ABP	1
hsa-let-7c-5p	YOD1	1
hsa-let-7c-5p	C19orf47	1
hsa-let-7c-5p	GATM	1
hsa-let-7c-5p	DNA2	1
hsa-let-7c-5p	TXLNG	1
hsa-let-7c-5p	TGFBR3	1
hsa-let-7c-5p	NR6A1	1
hsa-let-7c-5p	ACER2	1
hsa-let-7c-5p	CLDN12	1
hsa-let-7c-5p	STRN	1
hsa-let-7c-5p	SLK	1
hsa-let-7c-5p	MED28	1
hsa-let-7c-5p	NAA30	1
hsa-let-7c-5p	POLR3D	1
hsa-let-7c-5p	TMED5	1
hsa-let-7c-5p	E2F5	1
hsa-let-7c-5p	POLL	1
hsa-let-7c-5p	ETNK2	1
hsa-let-7c-5p	AP1S1	1
hsa-let-7c-5p	RNF44	1
hsa-let-7c-5p	USP38	1
hsa-let-7c-5p	FMO4	1
hsa-let-7c-5p	RICTOR	1
hsa-let-7c-5p	DUSP1	1
hsa-let-7c-5p	CDKAL1	1
hsa-let-7c-5p	AGO1	1
hsa-let-7c-5p	PEX11B	1
hsa-let-7c-5p	NME4	1
hsa-let-7c-5p	EDN1	1
hsa-let-7c-5p	KLHDC8B	1
hsa-let-7c-5p	IGF2BP3	1
hsa-let-7c-5p	NRAS	1
hsa-let-7c-5p	STX3	1
hsa-let-7c-5p	CDKN1A	1
hsa-let-7c-5p	SLC16A9	1
hsa-let-7c-5p	ARID3A	1
hsa-let-7c-5p	THBS1	1
hsa-let-7c-5p	ATP6V1G1	1
hsa-let-7c-5p	PLEKHO1	1
hsa-let-7c-5p	HOXD1	1
hsa-let-7c-5p	CPA4	1
hsa-let-7c-5p	SDR42E1	1
hsa-let-7c-5p	IGF1R	1
hsa-let-7c-5p	MDM4	1
hsa-let-7c-5p	CRY2	1
hsa-let-7c-5p	C5orf51	1
hsa-let-7c-5p	IKZF3	1
hsa-let-7c-5p	MIEF1	1
hsa-let-7c-5p	PPP1R15B	1
hsa-let-7c-5p	EPHA4	1
